황엄,349201,10,0.2621836237619096
엉엽,348290,10,0.259652215690504
영넘,350007,10,0.25862923686168116
연겁,334055,48,0.2583731770201029
격엄,340637,30,0.2576021371553139
헝염,350853,10,0.25664195815985325
칭얼,352273,10,0.2563113193240756
관엄,347228,11,0.25599644068177374
과영,333627,50,0.25587198070949
먹년,340549,30,0.25576560234815104
악엽,348763,10,0.25573521424538437
걱엽,332855,54,0.2554518675675419
영넉,342792,23,0.25504900505507433
성넘,344535,18,0.25491961333380453
엥겁,345281,15,0.25461820566115567
멍녕,348969,10,0.25445733581080654
명펌,343183,22,0.2542980764383729
친엉,348184,10,0.25409982896811556
연넝,349137,10,0.25396188266935116
용엄,343816,20,0.2539334841641264
견겅,335653,42,0.2538890198130972
역펀,346645,12,0.2530121327725503
엔겁,348621,10,0.2529578247189095
밍엄,351035,10,0.2528262914651074
정핌,347200,11,0.2528243536301311
짐언,336268,40,0.25279738043414546
정판,348897,10,0.25254982772108225
알겅,347436,11,0.25252781523265244
영첩,350913,10,0.25246241148085147
엉겁,352941,10,0.2522535007743181
암엉,352305,10,0.2520226583101085
임엉,349731,10,0.25172132099049993
친겁,352777,10,0.2515502008325796
젱언,337212,37,0.25154851458115834
졍임,333524,51,0.25137230728570725
컬상,339927,31,0.25133152971729766
혼첩,347041,11,0.2512676566095824
깅연,352011,10,0.25115979259897037
걸언,347722,10,0.2509974574430329
편엉,345586,15,0.25099550157036066
학펑,352477,10,0.2509645202575026
곤업,348869,10,0.250956169624136
영멀,338857,34,0.2509292134598997
갠청,332119,59,0.25079350134587053
억넝,336396,40,0.25064122567455016
역얼,338527,34,0.25050264281427426
엉념,351917,10,0.2503887728703664
친펌,349538,10,0.25031797309997017
공접,338704,34,0.2502949978261002
쟁원,350494,10,0.2502480341966361
멍녁,352271,10,0.25023339511710585
쾅연,339920,31,0.2502270854410723
선펑,350110,10,0.25019167744611504
펴엄,352387,10,0.25017529494823065
얼엉,343188,22,0.2501688350815422
연펌,349713,10,0.25006918687010715
김섭,352574,10,0.250056967785406
정엠,337308,37,0.25002903911136565
경엘,346642,12,0.24999802119740677
겅겹,351400,10,0.24995601836099623
셍염,350134,10,0.24994808878487762
얼광,350381,10,0.24991012091079523
형열,346221,13,0.24986906437558276
택겅,332916,53,0.24984498145192313
죵연,347447,11,0.24979412307161386
헌첨,331997,60,0.24976766935733075
적텬,339272,33,0.24970519226805954
통업,338474,35,0.2496998033891742
쳉넝,344450,18,0.2496689190107546
펀교,349665,10,0.2496149221674192
렁교,332354,57,0.24958800674093357
첨선,352027,10,0.24955900759818572
촌엉,336118,40,0.24940871962488753
성팽,332038,60,0.24935564863929716
황암,351909,10,0.24935231345931608
친얼,346251,12,0.2493444057870723
알걱,345668,14,0.24927983440760904
잉선,351958,10,0.24915884660482956
걱쇼,335363,43,0.24911627728795238
장완,351341,10,0.24894133671886243
생엉,349078,10,0.24878550679893852
쳐먼,349167,10,0.24877392267966836
현섬,337277,37,0.24874024892876867
성팜,331469,61,0.2487352718873458
청편,351099,10,0.24865853107043678
철교,345391,15,0.24864891509056664
평석,333474,51,0.24864179409632126
금언,349122,10,0.2486291854588487
겡연,351495,10,0.2485737807230819
쳉삽,331736,60,0.2485413326643484
척앙,333833,49,0.24851743712714836
격엥,347272,11,0.24846521770381957
엉펼,352336,10,0.24835583979286113
착성,351667,10,0.24825343831411872
질언,350753,10,0.24818845276666945
멸섬,339189,33,0.24815939093334138
쾅선,337322,37,0.24815205303401933
억상,352007,10,0.24815008196338972
청욤,350082,10,0.24813453558250964
격텡,344587,17,0.2480983684917154
촹영,351587,10,0.24809247050843997
칭온,340427,31,0.2480697469833244
왕역,345987,13,0.24791999318370406
청액,349405,10,0.24788177668293898
명전,345810,14,0.24777571018291789
엉찹,334592,46,0.24773341622878486
경욤,347273,11,0.24768464889205755
쳐억,349537,10,0.2476568806244679
믹연,335415,43,0.2476467795670969
치설,352642,10,0.24761438063576402
승임,349041,10,0.24760835208563903
척센,349787,10,0.24760160829982114
걸녀,350917,10,0.24756374434738493
착섬,351385,10,0.2475325172586087
증연,336717,39,0.24745585837963024
먹현,336139,40,0.2474487459142447
감펀,333347,52,0.24738472149631352
견넘,352209,10,0.24737840600882
션걱,348477,10,0.24734730136579297
옥교,334725,45,0.24734581365723307
봉염,352940,10,0.24732306388803704
갈언,339310,33,0.24730618129605164
전열,348479,10,0.2472850649845746
겅엘,347663,10,0.24727619221056796
면넉,347760,10,0.24726547015849643
헝텬,341230,30,0.24725723780738018
경컹,342880,23,0.24720786948571827
면텅,349591,10,0.2471298106156088
겡언,336923,38,0.24712749191166394
면척,334653,46,0.2471262775000218
랑펌,341435,28,0.24711729594587428
친텀,333448,51,0.2471050206999338
생넉,351891,10,0.24708593011831392
셩섭,333584,50,0.24701468623116185
창엉,351679,10,0.24697708403718655
셩첨,352029,10,0.2469198585407716
원겅,351667,10,0.2469049251073573
쳉년,351386,10,0.24689176024119774
옹입,335195,43,0.2468404274689705
기첩,349048,10,0.24683038044806171
견황,352007,10,0.24663687615951435
서엉,338750,34,0.24662859521110125
종임,330679,61,0.24660912425911685
셔넌,337805,35,0.2464542909941162
징영,340950,30,0.24645252541160512
첵텅,338764,34,0.24643728602799087
격압,343283,22,0.24643717119161623
척욤,346397,12,0.24637908900799466
전억,336584,40,0.2463730827774553
속엄,347442,11,0.24630429560688527
관언,332114,59,0.24629420927292334
관언,332114,59,0.24629420927292334
힘선,335938,41,0.2462255086647367
성암,330897,61,0.24621903702200632
채걱,342040,26,0.2462135084792395
영왈,343041,22,0.24618639133464715
작요,349921,10,0.24618598680958326
현갱,350650,10,0.24615462788400744
연갱,348840,10,0.24614914565635826
억평,332304,58,0.24613308727737537
엔겅,345830,14,0.2460938397294794
개엄,349512,10,0.24608635919930588
경잡,332935,53,0.24600103122180894
렁년,344120,19,0.2459484637991921
곱영,341684,28,0.24593834931381175
쳔팡,339215,33,0.24590885857108025
결벙,332224,58,0.24581667015694608
격솽,342362,25,0.24575924883890454
먼생,343161,22,0.24575198214285965
새첨,334935,44,0.24572763438432088
연첨,342316,25,0.2457169624826797
형악,348869,10,0.24571270340771778
셩옴,350419,10,0.245652010369525
셩푼,349652,10,0.24564809357537043
책안,348975,10,0.24562562784986597
괄앙,351540,10,0.24561264792405935
경범,348103,10,0.24559165566107022
개왕,349127,10,0.2455855782528893
텨상,332171,58,0.24558545958357292
엑탕,348526,10,0.24554535965242474
젱요,352299,10,0.2454938571945735
통섭,350645,10,0.24548938461397452
책임,348078,10,0.245476330395078
성낵,344991,16,0.2454695352287919
역텐,349927,10,0.2454309791704844
텅왐,347519,10,0.245413133099886
성판,351908,10,0.24540662958140602
작임,345879,13,0.24540370706754921
생압,340858,30,0.24539526461552064
첨역,346987,11,0.24539283750769536
밍완,340843,30,0.24539249475956382
앵원,347445,11,0.24534638557036148
칙털,332728,55,0.24528756157235665
겡표,343939,20,0.24527078462674
틱선,352240,10,0.24524140733490962
탁겅,339395,32,0.24519772557085218
검온,351758,10,0.24519029781825452
경턱,346777,11,0.24516956537291745
멈인,333420,51,0.24514059692944956
걸넘,331528,61,0.24513053734265988
공임,349942,10,0.24511134172270987
형앵,346427,12,0.2450688177635869
컹완,350533,10,0.24503869558559854
척펄,343261,22,0.2450281787181302
선겅,348726,10,0.24502365560066952
텀선,333202,52,0.24501192463485166
걱첩,350996,10,0.24500623924192289
턱낭,351620,10,0.24493502662819122
텅셉,352706,10,0.24491217071944116
졍판,350134,10,0.24489839517469603
엉팍,335365,43,0.24488762999291402
턱평,349957,10,0.2448751474110351
성점,348801,10,0.2448728979144481
망션,346375,12,0.24484786118828994
미엄,348702,10,0.2448388985431762
싱퍽,337454,36,0.24483839691773424
첨염,351049,10,0.24478927352767577
결헝,343695,20,0.24476634675647724
걸십,349422,10,0.24475759222650628
명삭,337281,37,0.24475378961675054
총엉,338798,34,0.24474702893294942
엉앤,333578,50,0.24474069610521398
쇼엄,330728,61,0.24472386586180783
앙임,350545,10,0.2446910849575341
일헝,338691,34,0.24467372379310892
철펌,331199,61,0.24466252610427097
친턴,350202,10,0.2446554364542165
틱염,333516,51,0.24462227273443837
슝언,347145,11,0.24457903070287124
픽영,340275,31,0.2444945450510586
옹압,351872,10,0.24443801224602624
촉넝,348017,10,0.2444351361153252
울영,341883,27,0.24437636433937204
정청,352755,10,0.24437577478233974
국열,350305,10,0.24431640389300202
곱왕,343470,21,0.24431208966542084
역삼,349092,10,0.244296860740275
텨검,351485,10,0.24427348332133214
켱안,348795,10,0.24425740031846588
먼쇼,336513,40,0.24425665111667405
경웍,330778,61,0.2442469055828388
육건,334076,48,0.24424484952310033
톡엉,338559,34,0.24422965283135945
멍손,352788,10,0.24419435346316798
정닌,334624,46,0.2441624088204306
걸넹,331474,61,0.24414706216563298
검퍽,349028,10,0.24412386011768827
걸능,338363,35,0.24411762207097698
격텁,339146,33,0.24407835298318503
점핀,333365,52,0.24405578192777044
구연,345057,16,0.24402475036837135
뮨겅,337768,35,0.24398784734193868
창엠,349015,10,0.24397299936227979
격퉁,347745,10,0.24395521592210245
턱첨,340600,30,0.24391802602298507
성엔,351023,10,0.24386382811522367
칠상,344837,17,0.2438560642065566
컹움,330909,61,0.2438538021907415
엉뭔,352408,10,0.2438505819897424
인헝,350238,10,0.24383520030923245
시릉,344555,18,0.24379552967357765
결펀,337892,35,0.2437903392332169
석은,342630,24,0.24374468827229978
옹컵,352156,10,0.24366292366750608
텁삭,333292,52,0.24361989798228034
상청,352364,10,0.24352893436139833
졍험,348748,10,0.24351446106853225
걱잉,331046,61,0.24347049547420907
텁인,345928,13,0.24339039827822329
켠썽,336449,40,0.24328744842871908
징옴,337319,37,0.24328540826332568
광건,348984,10,0.24327865804775484
삭펍,346102,13,0.24325466380623795
겁익,345332,15,0.24320524887999784
정솜,345955,13,0.24319240357721505
견합,352778,10,0.243188409744575
영속,334872,45,0.24318374104060836
온억,348972,10,0.24313480389613917
탁청,340522,31,0.24310142887448571
